playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8470140,2013,Kari Lehtonen,DAL,G,other,65,6857.0,17.16,17.0,222.0,9.18,11.0,25.78,21.0,126.3,122.0,2.73,4.0,71.47,68.0,44.93,54.0,15.9,110.0,45.0,18.0,4.01,5.75,7.4,4.0,6.0,7.0,49.0,0.0,0.0
8470140,2013,Kari Lehtonen,DAL,G,all,65,228239.0,180.27,153.0,3571.0,134.69,154.0,439.35,445.0,1926.42,1888.0,65.54,59.0,1068.21,881.0,790.93,977.0,172.85,1985.0,508.0,183.0,57.88,61.85,60.53,55.0,56.0,42.0,895.0,4.0,2.0
8470140,2013,Kari Lehtonen,DAL,G,5on5,65,181790.0,117.84,103.0,2744.0,97.41,110.0,347.68,345.0,1459.61,1430.0,49.42,38.0,814.11,672.0,609.05,753.0,114.62,1564.0,367.0,102.0,46.3,44.66,26.88,45.0,41.0,17.0,711.0,4.0,2.0
8470140,2013,Kari Lehtonen,DAL,G,4on5,65,17422.0,36.46,29.0,487.0,23.9,27.0,54.72,59.0,265.24,260.0,1.37,3.0,159.92,128.0,85.08,113.0,34.0,247.0,72.0,50.0,5.66,8.41,22.39,5.0,9.0,15.0,118.0,0.0,0.0
8470140,2013,Kari Lehtonen,DAL,G,5on4,65,22170.0,7.28,3.0,106.0,3.66,5.0,9.4,16.0,66.55,66.0,11.68,13.0,19.28,12.0,48.37,53.0,6.82,59.0,20.0,11.0,1.74,2.56,2.98,1.0,0.0,2.0,16.0,0.0,0.0
8470147,2013,Curtis McElhinney,CBJ,G,other,28,2654.0,3.87,3.0,60.0,2.07,3.0,6.59,5.0,32.03,37.0,1.01,1.0,17.99,18.0,12.52,12.0,3.73,34.0,5.0,5.0,1.36,0.51,2.0,0.0,0.0,3.0,16.0,0.0,0.0
8470147,2013,Curtis McElhinney,CBJ,G,all,28,85389.0,52.79,64.0,1240.0,43.94,47.0,155.01,114.0,668.66,703.0,21.63,30.0,382.86,334.0,281.83,349.0,51.33,766.0,124.0,48.0,19.64,14.56,18.59,24.0,18.0,22.0,302.0,0.0,0.0
8470147,2013,Curtis McElhinney,CBJ,G,5on5,28,67737.0,33.14,45.0,951.0,30.79,32.0,122.34,98.0,503.99,522.0,16.76,23.0,287.6,240.0,217.88,274.0,32.42,594.0,90.0,24.0,15.13,10.5,7.51,22.0,13.0,10.0,243.0,0.0,0.0
8470147,2013,Curtis McElhinney,CBJ,G,4on5,28,8314.0,14.51,16.0,206.0,10.38,11.0,24.32,10.0,119.05,125.0,0.59,2.0,73.62,67.0,39.24,55.0,13.95,124.0,24.0,18.0,2.85,2.81,8.84,2.0,5.0,9.0,40.0,0.0,0.0
8470147,2013,Curtis McElhinney,CBJ,G,5on4,28,6684.0,1.27,0.0,23.0,0.7,1.0,1.76,1.0,13.59,19.0,3.26,4.0,3.65,9.0,12.21,8.0,1.22,14.0,5.0,1.0,0.28,0.74,0.25,0.0,0.0,0.0,3.0,0.0,0.0
8460705,2013,Evgeni Nabokov,NYI,G,other,40,2991.0,6.17,5.0,118.0,4.17,2.0,10.93,10.0,55.76,59.0,1.45,1.0,29.85,33.0,24.08,25.0,5.86,51.0,20.0,7.0,1.69,2.37,2.11,1.0,0.0,4.0,40.0,0.0,0.0
8460705,2013,Evgeni Nabokov,NYI,G,all,40,134054.0,97.42,103.0,2077.0,75.56,84.0,241.44,224.0,1079.21,1085.0,36.64,44.0,588.43,440.0,466.05,623.0,94.21,1116.0,303.0,87.0,32.12,36.21,29.09,30.0,35.0,38.0,571.0,4.0,2.0
8460705,2013,Evgeni Nabokov,NYI,G,5on5,40,108953.0,72.58,73.0,1646.0,57.79,72.0,198.47,182.0,859.88,859.0,28.42,38.0,464.69,332.0,369.02,508.0,70.16,899.0,230.0,62.0,26.45,27.51,18.61,26.0,26.0,21.0,455.0,4.0,2.0
